speech_id,talare,parti,truth,pred,top_prob,snippet,source_file
b51138aa-c5a6-e411-9415-00262d0d0c40,Helena Lindahl (C),C,centre,far_left,0.3378906626714882,"<p>Herr talman! Jag tackar Per-Arne Håkansson; jag tycker att stora delar av hans inlägg var kloka. Men jag har några frågor, bland annat när det gäller försäljning av bolag och nödvändigheten av detta.</p><p>Det är ingen hemlighet att mång",data/speeches/parquet/anforande-201415.json.parquet
48c44eb9-b09c-e411-9412-00262d0d7125,Jonas Jacobsson Gjörtler (M),M,centre_left,left,0.4161866731587277,"<p>Herr talman! Om det vore så att kostnaderna för de höjda arbetsgivaravgifterna inte vore ett problem, vilket det ändå låter på Håkan Svenneling som att det är, ställer man sig ju frågan varför ni i så fall valde att kompensera kommunerna",data/speeches/parquet/anforande-201415.json.parquet
fc08b677-0e86-e911-9121-901b0e9b71a0,Statsministern Stefan Löfven (S),S,centre_right,centre_left,0.3882513870277584,<p> STYLEREF Kantrubrik \* MERGEFORMAT Återrapportering från Europeiska rådets möte den 9 maj</p><p>Fru talman! När den sociala pelaren diskuterades var utgångspunkten att detta är en fråga om nationell beslutanderätt. Det är det som gör at,data/speeches/parquet/anforande-201819.json.parquet
7fbb7eea-620d-eb11-9146-901b0e9b71a8,Statsministern Stefan Löfven (S),S,right,centre,0.4805829946366715,<p> STYLEREF Kantrubrik \* MERGEFORMAT Statsministerns frågestund</p><p>Herr talman! Jag tycker att Annie Lööf ska läsa den sociala pelaren och göra det grundligt. Där står inget om någon lagstadgad minimilön. Det kommer inte ens i närheten,data/speeches/parquet/anforande-202021.json.parquet
2a68e860-3b0b-ec11-9160-901b0e9b71a0,Statsrådet Mikael Damberg (S),S,centre,centre_right,0.3582209477873423,<p>Fru talman! Jag har stor respekt för att Thomas Morell både har kunskap om och har arbetat med de här frågorna under lång tid. Om man tittar på de här frågorna i ett lite historiskt perspektiv blir frågan: Vilken tid i historien har vi g,data/speeches/parquet/anforande-202021.json.parquet
95c67335-3a8e-e711-9457-00262d0d7125,Statsrådet Anna Johansson (S),S,centre_left,right,0.3936372598980721,"<p>Herr talman! Stockholm är jätteviktigt för Sverige, men Stockholm är inte den enda delen av Sverige som har stora behov. Därför handlar det kanske inte så mycket om att ställa olika delar av landet mot varandra. Tvärtom framhåller regeri",data/speeches/parquet/anforande-201617.json.parquet
ae1af306-e465-e911-911b-901b0eac4c78,Erik Bengtzboe (M),M,centre,far_right,0.3808313221527962,"<p>Fru talman! Jag delar inte riktigt beskrivningen att svensk arbetsmarknadslagstiftning och arbetsmarknadspolitik är små perifera frågor, även om det självfallet otvivelaktigt är så som det redan har konstaterats - att migrationen har sto",data/speeches/parquet/anforande-201819.json.parquet
62059682-7d14-eb11-9143-901b0eac4c70,Lars Beckman (M),M,centre,far_left,0.351582455443663,"<p>Fru talman! Det finns ingen som helst politisk konflikt om Allmänna reklamationsnämnden, ARN. ARN har prövat dessa frågor, om man har rätt till återbetalning eller inte, och ARN har också sagt att man som konsument har rätt till återbeta",data/speeches/parquet/anforande-202021.json.parquet
098e80f3-a416-e611-9437-00262d0d0c40,Statsrådet Anders Ygeman (S),S,centre,centre,0.3898992611914618,"<p>Herr talman! Roger Haddad får nog om han ska ägna sig åt den här typen av debatter göra sig besväret att läsa mer än en mening i taget. Det är ändå, som Roger Haddad ger uttryck för, tre sidor där jag resonerar kring olika former av utve",data/speeches/parquet/anforande-201516.json.parquet
64ece91b-6bb2-eb11-914f-901b0eac4c78,TREDJE VICE TALMANNEN,,centre,far_right,0.3340606137365805,<p>Jag får påminna om att det finns uppförandekoder för kammaren som det gäller att man respekterar fullt ut.</p>,data/speeches/parquet/anforande-202021.json.parquet
